account_id,contract_type,customer_id,has_device_protection,has_internet_service,has_multiple_lines,has_online_backup,has_online_security,has_phone_service,has_premium_tech_support,has_unlimited_data,internet_type,num_referrals,paperless_billing,payment_method,tenure_months,avg_gb_download_monthly,avg_long_distance_fee_monthly,stream_movie,stream_music,stream_tv,total_charges_quarter,total_long_distance_fee,total_monthly_fee,total_refunds,age,gender,married,num_dependents,senior_citizen,zip_code,area_id,city,latitutde,longitude,population,status
ADCZ-RQOBI,Two Year,2984-RGEYA,No,No,No,No,No,Yes,No,No,None,9,No,Bank Withdrawal,69,0,5.27,No,No,No,1375.4,363.63,19.75,0.0,38,Female,Yes,0,No,91306,192,Winnetka,34.209532,-118.577563,43857,0
ADGT-CAQML,Month-to-Month,4726-DLWQN,No,Yes,Yes,Yes,Yes,Yes,No,No,DSL,0,Yes,Bank Withdrawal,50,23,25.23,No,No,Yes,3454.6,1261.5,70.35,0.0,69,Male,No,0,Yes,95953,1488,Live Oak,39.258746,-121.77697,8695,0
ADHD-XTYYU,Month-to-Month,0568-ONFPC,No,No,Yes,No,No,Yes,No,No,None,1,Yes,Bank Withdrawal,5,0,40.05,No,No,No,135.0,200.25,25.9,0.0,34,Male,Yes,1,No,94112,899,San Francisco,37.720498,-122.443119,73117,1
ADKI-PEMCS,Month-to-Month,2091-RFFBA,No,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,31,2,15.43,No,No,No,2217.15,478.33,73.9,0.0,70,Female,No,0,Yes,94569,973,Port Costa,38.035707,-122.196821,173,1
ADRM-SVMYA,Month-to-Month,3426-NIYYL,No,Yes,Yes,No,No,Yes,No,No,DSL,0,No,Bank Withdrawal,15,26,3.15,No,No,No,765.5,47.25,51.55,0.0,47,Male,No,0,No,94965,1053,Sausalito,37.848641,-122.515692,11213,1
ADZJ-IEPGE,Month-to-Month,1415-YFWLT,No,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,1,30,30.23,Yes,No,Yes,89.3,30.23,89.3,0.0,68,Female,No,0,Yes,93664,813,Shaver Lake,37.223,-119.001021,642,1
AEAR-NKQQU,Month-to-Month,2576-HXMPA,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,1,0,8.23,No,No,No,19.55,8.23,19.55,0.0,30,Female,No,0,No,95519,1288,Mckinleyville,40.965011,-124.015255,15921,0
AEAR-OJGZU,Two Year,3359-DSRKA,No,No,No,No,No,Yes,No,No,None,9,Yes,Credit Card,58,0,11.81,No,No,No,1158.85,684.98,19.85,0.0,48,Female,Yes,3,No,96085,1578,Scott Bar,41.737962,-123.07557,88,0
AEKV-YJJYC,Two Year,1320-REHCS,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,0,Yes,Bank Withdrawal,52,25,23.04,Yes,Yes,Yes,5832.0,1198.08,110.75,6.26,75,Male,No,0,Yes,90301,97,Inglewood,33.956445,-118.358634,37527,0
AENQ-SYIBG,Month-to-Month,4957-TREIR,No,Yes,No,No,Yes,Yes,Yes,Yes,DSL,0,Yes,Credit Card,3,7,38.05,No,No,Yes,195.65,114.15,64.4,0.0,37,Male,No,0,No,93266,674,Stratford,36.175255,-119.813805,1729,0
AEPR-BBJTO,One Year,5149-QYTTU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic,3,Yes,Credit Card,71,19,34.53,No,No,No,6770.85,2451.63,95.15,0.0,35,Female,Yes,1,No,90814,158,Long Beach,33.771612,-118.143866,19034,0
AEUA-TAESQ,Two Year,2176-LVPNX,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,DSL,0,No,Credit Card,71,22,37.39,Yes,No,Yes,6293.45,2654.69,89.85,0.0,69,Female,No,0,Yes,95113,1096,San Jose,37.333851,-121.891147,561,0
AFCP-AGGFB,Two Year,3831-YCPUO,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,3,Yes,Credit Card,72,19,32.23,Yes,Yes,Yes,7854.9,2320.56,109.5,0.0,38,Female,Yes,1,No,95232,1143,Glencoe,38.358464,-120.579304,21,0
AFEO-XOOCP,Two Year,0014-BMAQU,No,Yes,Yes,No,Yes,Yes,Yes,No,Fiber Optic,8,Yes,Credit Card,63,7,12.96,No,No,No,5377.8,816.48,84.65,0.0,52,Male,Yes,0,No,94558,963,Napa,38.489789,-122.27011,63947,0
AFGV-EDCCQ,Month-to-Month,4741-WWJQZ,No,Yes,No,No,Yes,Yes,Yes,Yes,Fiber Optic,0,Yes,Bank Withdrawal,2,23,26.58,No,No,No,194.55,53.16,80.15,0.0,49,Female,Yes,0,No,95436,1243,Forestville,38.499302,-122.92444,6216,0
AFHO-LCFIG,Two Year,3638-VBZTA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,0,Yes,Bank Withdrawal,68,29,11.5,Yes,Yes,Yes,5882.75,782.0,86.5,0.0,62,Male,No,0,No,91706,242,Baldwin Park,34.098275,-117.967399,76890,0
AFKF-DLQEA,One Year,0428-AXXLJ,No,No,No,No,No,Yes,No,No,None,0,Yes,Bank Withdrawal,25,0,3.58,No,No,No,516.3,89.5,19.5,0.0,29,Male,No,0,No,90706,132,Bellflower,33.887676,-118.127289,72893,0
AFPP-JXMIC,Two Year,3646-ITDGM,No,No,No,No,No,Yes,No,No,None,0,No,Bank Withdrawal,56,0,32.88,No,No,No,1051.9,1841.28,19.7,0.0,42,Female,No,0,No,95822,1434,Sacramento,38.512569,-121.495184,44683,0
AFWE-HDSOX,Two Year,4312-KFRXN,No,No,Yes,No,No,Yes,No,No,None,2,No,Credit Card,72,0,34.29,No,No,No,1710.9,2468.88,25.4,0.0,61,Male,Yes,0,No,93426,705,Bradley,35.842889,-121.004862,1363,0
AGDJ-KWXRZ,Two Year,2088-IEBAU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,0,Yes,Bank Withdrawal,68,2,21.82,Yes,Yes,Yes,6148.45,1483.76,88.15,36.29,63,Female,No,0,No,92064,336,Poway,32.984395,-117.013454,47969,0
AGOK-EXYMU,Month-to-Month,2108-XWMPY,No,Yes,No,Yes,Yes,No,No,Yes,DSL,0,Yes,Credit Card,3,85,0.0,No,No,No,106.85,0.0,35.45,0.0,29,Male,No,0,No,92230,390,Cabazon,33.929812,-116.76058,2355,1
AGRZ-LTGHP,Month-to-Month,3902-FOIGH,No,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,1,Yes,Bank Withdrawal,12,4,48.5,Yes,No,Yes,1218.55,582.0,101.35,0.0,66,Male,Yes,0,Yes,96109,1596,Doyle,40.012675,-120.101857,1177,1
AGXX-KUFPK,Month-to-Month,1565-RHDJD,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,0,No,Bank Withdrawal,4,69,41.72,No,Yes,No,333.55,166.88,84.05,0.0,21,Female,No,0,No,96073,1572,Palo Cedro,40.582399,-122.195512,4931,1
AHDR-OUQUJ,Month-to-Month,0196-JTUQI,No,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Credit Card,9,28,9.27,No,No,No,633.85,83.43,75.2,0.0,59,Female,No,0,No,95612,1336,Clarksburg,38.384648,-121.578701,1417,0
AHFN-WFIHU,Month-to-Month,4821-SJHJV,No,Yes,Yes,No,Yes,Yes,No,Yes,Fiber Optic,6,No,Bank Withdrawal,32,82,48.49,No,No,Yes,2901.8,1551.68,89.6,0.0,25,Female,Yes,3,No,92233,392,Calipatria,33.143826,-115.497485,7857,0
AHLW-TGLOA,Two Year,3963-RYFNS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic,0,Yes,Bank Withdrawal,72,51,48.52,Yes,Yes,Yes,8013.55,3493.44,116.45,0.0,25,Female,No,0,No,90291,94,Venice,33.991782,-118.479229,31021,0
AIET-SRNXM,Two Year,1709-EJDOX,No,No,No,No,No,Yes,No,No,None,10,No,Credit Card,47,0,41.54,No,No,No,948.9,1952.38,19.75,0.0,33,Female,Yes,3,No,94134,915,San Francisco,37.721052,-122.413573,40137,0
AIKX-RZPVA,One Year,3584-WKTTW,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,2,Yes,Bank Withdrawal,51,76,39.32,Yes,Yes,Yes,5720.35,2005.32,111.55,0.0,23,Male,Yes,0,No,96094,1586,Weed,41.465121,-122.380947,5896,0
AIMM-PKXRN,One Year,4908-XAXAY,Yes,Yes,No,Yes,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,49,21,47.72,Yes,No,No,4287.2,2338.28,89.85,0.0,70,Female,No,0,Yes,93206,637,Buttonwillow,35.451402,-119.488413,2078,0
AIMU-YHUSB,Month-to-Month,4124-MMETB,No,Yes,Yes,No,No,Yes,No,No,Fiber Optic,0,Yes,Credit Card,22,16,46.28,Yes,Yes,Yes,2104.55,1018.16,94.65,0.0,52,Male,No,0,No,93932,849,Lockwood,35.989792,-121.055933,538,1
AIPP-VTDXJ,Two Year,0019-EFAEP,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,72,16,2.25,No,No,Yes,7261.25,162.0,101.3,0.0,32,Female,No,0,No,91942,303,La Mesa,32.782501,-117.01611,24005,0
AIVZ-VHWSR,Month-to-Month,4923-ADWXJ,No,Yes,No,Yes,No,Yes,Yes,Yes,DSL,0,Yes,Bank Withdrawal,25,10,1.22,Yes,Yes,No,1679.65,30.5,65.8,29.29,33,Female,No,0,No,96047,1553,Igo,40.524535,-122.647172,911,0
AJBQ-PQTIO,One Year,3951-NJCVI,No,Yes,Yes,No,No,Yes,No,No,Fiber Optic,10,Yes,Bank Withdrawal,42,10,42.29,Yes,No,Yes,3944.5,1776.18,95.05,0.0,76,Female,Yes,0,Yes,92234,393,Cathedral City,33.829583,-116.474131,43141,0
AJHQ-UGVZV,Month-to-Month,0362-ZBZWJ,No,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,36,22,24.66,Yes,Yes,No,3067.2,887.76,84.9,0.0,46,Male,No,0,No,95686,1395,Thornton,38.157794,-121.520223,1472,1
AJOU-QQPZA,Two Year,0839-JTCUD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable,9,No,Credit Card,66,3,36.36,Yes,Yes,Yes,5958.85,2399.76,89.9,0.0,31,Female,Yes,0,No,92691,559,Mission Viejo,33.611945,-117.665867,46371,0
AJSM-GBZWP,Month-to-Month,3061-BCKYI,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,14,0,43.5,No,No,No,283.75,609.0,19.9,0.0,27,Male,No,0,No,92276,420,Thousand Palms,33.849263,-116.382778,6242,0
AJTG-RGRBN,Month-to-Month,1346-PJWTK,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,1,No,Credit Card,61,2,17.73,Yes,Yes,No,5731.85,1081.53,94.15,0.0,63,Male,Yes,0,No,92880,598,Corona,33.918043,-117.617809,16998,0
AKDY-OWUCS,Month-to-Month,2026-TGDHM,No,Yes,No,No,No,Yes,No,No,Fiber Optic,0,Yes,Bank Withdrawal,7,16,19.21,Yes,Yes,No,523.15,134.47,79.3,0.0,54,Female,No,0,No,95425,1235,Cloverdale,38.801936,-122.938935,9210,1
AKFT-JBSKI,One Year,4710-FDUIZ,No,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,2,No,Credit Card,56,7,26.15,Yes,Yes,Yes,5614.45,1464.4,100.3,0.0,50,Male,Yes,0,No,92707,567,Santa Ana,33.714829,-117.872941,62634,1
AKHG-BKCPI,Two Year,0394-YONDK,No,No,Yes,No,No,Yes,No,No,None,0,No,Credit Card,70,0,1.22,No,No,No,1790.15,85.4,25.15,0.0,28,Male,Yes,3,No,92025,322,Escondido,33.081478,-117.033814,49281,0
AKJX-SJSCD,One Year,1133-KXCGE,No,No,No,No,No,Yes,No,No,None,0,No,Mailed Check,18,0,18.8,No,No,No,407.05,338.4,20.1,0.0,38,Female,No,0,No,93552,760,Palmdale,34.557711,-118.029441,25370,0
AKMA-IEZLD,Two Year,0928-JMXNP,Yes,Yes,No,No,No,No,No,Yes,DSL,3,Yes,Bank Withdrawal,4,5,0.0,No,No,No,118.25,0.0,29.9,0.0,78,Male,Yes,0,Yes,96055,1559,Los Molinos,40.059385,-122.091481,3756,0
AKUI-DLIRV,Month-to-Month,0727-IWKVK,Yes,Yes,No,Yes,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,9,27,19.18,No,No,No,741.7,172.62,79.9,0.0,35,Male,Yes,0,No,92398,476,Yermo,35.013299,-116.834092,1195,1
ALEA-UWZYK,Month-to-Month,2740-JFBOK,No,No,Yes,No,No,Yes,No,No,None,0,Yes,Bank Withdrawal,10,0,3.01,No,No,No,226.55,30.1,24.0,0.0,35,Male,No,0,No,90713,135,Lakewood,33.847755,-118.112532,27563,0
ALIC-SGOWO,Month-to-Month,3258-SANFR,No,Yes,No,No,No,Yes,No,Yes,DSL,0,No,Credit Card,6,7,19.74,No,No,No,276.5,118.44,44.7,0.0,69,Male,No,0,Yes,95305,1162,Big Oak Flat,37.818589,-120.256995,167,0
ALKX-KILBJ,One Year,2911-IJORQ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,0,Yes,Bank Withdrawal,37,6,44.52,Yes,Yes,Yes,3358.65,1647.24,90.6,8.96,42,Male,No,0,No,95978,1508,Stirling City,39.904002,-121.527823,28,0
ALNM-XYDWD,Two Year,5019-GQVCR,No,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,43,7,8.81,No,No,Yes,3645.6,378.83,84.85,0.0,74,Male,No,0,Yes,91361,215,Westlake Village,34.130992,-118.894673,18735,0
ALUP-YAIDG,Two Year,1480-BKXGA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic,5,Yes,Bank Withdrawal,72,13,21.37,Yes,Yes,Yes,8404.9,1538.64,116.05,0.0,75,Male,Yes,0,Yes,92359,460,Mentone,34.103578,-117.04054,7324,0
ALYE-SMSWW,One Year,0112-QWPNC,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Cable,1,No,Bank Withdrawal,49,10,39.55,Yes,Yes,Yes,4059.35,1937.95,84.35,0.0,61,Male,Yes,0,No,93563,765,Valyermo,34.39583,-117.734568,413,1
AMCQ-AXZBK,One Year,1696-HXOWK,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Fiber Optic,6,No,Credit Card,71,10,5.22,No,No,Yes,6856.95,370.62,95.65,0.0,53,Female,Yes,0,No,92506,489,Riverside,33.930931,-117.361788,42425,0
AMNQ-VZXKW,Two Year,0298-XACET,Yes,Yes,No,Yes,No,No,Yes,Yes,DSL,1,No,Credit Card,52,17,0.0,No,No,Yes,2554.0,0.0,50.2,27.01,35,Male,Yes,2,No,95916,1459,Berry Creek,39.657228,-121.37778,1279,0
ANBP-PAPBC,One Year,3658-QQJYD,No,Yes,No,Yes,Yes,Yes,No,Yes,Cable,0,Yes,Credit Card,62,30,38.33,Yes,Yes,Yes,4698.05,2376.46,74.3,0.0,56,Male,No,0,No,90401,102,Santa Monica,34.015481,-118.493231,5221,0
ANNJ-SSJGO,Month-to-Month,3097-IDVPU,No,Yes,Yes,No,No,Yes,No,No,DSL,10,No,Credit Card,19,13,9.47,No,No,No,910.45,179.93,50.1,0.0,51,Male,Yes,2,No,90012,11,Los Angeles,34.065875,-118.238728,30596,0
ANNT-MTQNL,Month-to-Month,1905-OEILC,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,1,0,20.11,No,No,No,19.5,20.11,19.5,0.0,42,Female,No,0,No,93953,853,Pebble Beach,36.587497,-121.944815,4602,0
AOFG-EHHQC,Month-to-Month,1193-RTSLK,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Fiber Optic,0,Yes,Credit Card,38,48,36.18,No,Yes,No,3233.6,1374.84,83.9,0.0,26,Female,No,0,No,96039,1549,Happy Camp,41.831901,-123.487478,1294,1
AORF-FGNQY,Month-to-Month,5095-AESKG,No,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,1,Yes,Credit Card,3,20,31.61,Yes,Yes,No,242.95,94.83,91.5,0.0,33,Female,Yes,0,No,94965,1053,Sausalito,37.848641,-122.515692,11213,1
AOSV-AZYDG,Month-to-Month,5201-USSQZ,No,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic,1,No,Credit Card,26,2,42.26,Yes,Yes,No,2196.45,1098.76,85.9,0.0,56,Female,Yes,0,No,95462,1265,Monte Rio,38.471049,-123.015549,1537,0
AOVW-JVKRU,One Year,3556-BVQGL,No,No,No,No,No,Yes,No,No,None,2,Yes,Credit Card,20,0,19.15,No,No,No,416.45,383.0,20.0,0.0,21,Female,Yes,0,No,95685,1394,Sutter Creek,38.432145,-120.77069,4610,0
AOXX-EUBFJ,One Year,1397-XKKWR,Yes,Yes,No,No,Yes,No,No,Yes,DSL,0,No,Credit Card,7,14,0.0,No,No,No,264.8,0.0,35.3,0.0,47,Male,No,0,No,95112,1095,San Jose,37.343827,-121.883119,52334,0
APET-NQRSQ,Two Year,3957-SQXML,No,No,Yes,No,No,Yes,No,No,None,10,No,Credit Card,34,0,25.21,No,No,No,894.3,857.14,24.95,0.0,61,Female,Yes,0,No,90068,58,Los Angeles,34.137411,-118.328915,21728,0
APPT-DCAUM,One Year,3468-DRVQJ,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Cable,5,No,Bank Withdrawal,10,26,26.37,No,No,Yes,676.15,263.7,70.3,0.0,42,Female,Yes,1,No,90031,28,Los Angeles,34.085807,-118.206617,38415,0
APSJ-BDCBH,Month-to-Month,3524-WQDSG,Yes,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,8,Yes,Bank Withdrawal,43,59,5.25,Yes,Yes,Yes,4209.95,225.75,99.3,0.0,29,Female,Yes,2,No,94925,1030,Corte Madera,37.924014,-122.511694,9038,0
AQCC-MZWIM,Month-to-Month,2777-PHDEI,No,Yes,No,No,No,Yes,No,No,Fiber Optic,0,No,Bank Withdrawal,1,59,29.41,No,Yes,Yes,78.05,29.41,78.05,0.0,20,Female,No,0,No,93601,767,Ahwahnee,37.375816,-119.739935,1968,1
AQCV-BEDYN,Two Year,0562-HKHML,No,No,Yes,No,No,Yes,No,No,None,9,No,Credit Card,71,0,18.99,No,No,No,1626.4,1348.29,23.9,0.0,39,Male,Yes,1,No,94502,926,Alameda,37.724817,-122.224363,13996,0
AQGH-TIUQR,Two Year,4293-ETKAP,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Cable,10,Yes,Bank Withdrawal,65,13,1.83,Yes,Yes,Yes,5071.9,118.95,79.4,0.0,42,Female,Yes,1,No,96117,1602,Litchfield,40.507272,-120.338228,385,0
AQIO-NDEML,One Year,1899-VXWXM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,0,Yes,Credit Card,48,4,24.73,Yes,Yes,Yes,5082.8,1187.04,106.1,0.0,55,Male,No,0,No,92130,377,San Diego,32.957195,-117.202542,28201,1
AQNS-LVUPF,Two Year,2439-LYPMQ,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,7,Yes,Bank Withdrawal,38,24,4.75,Yes,No,Yes,4009.2,180.5,102.6,45.81,79,Male,Yes,0,Yes,96121,1606,Milford,40.181279,-120.392967,481,0
AQQO-QEFLK,Month-to-Month,3374-PZLXD,No,No,No,No,No,Yes,No,No,None,0,No,Credit Card,34,0,36.52,No,No,No,675.6,1241.68,19.7,0.0,31,Male,No,0,No,96103,1590,Blairsden Graeagle,39.783747,-120.661032,1839,0
AQUG-OXKDE,One Year,3606-SBKRY,Yes,Yes,No,No,No,No,No,Yes,DSL,0,Yes,Bank Withdrawal,31,5,0.0,Yes,Yes,Yes,1523.4,0.0,50.05,0.0,35,Male,No,0,No,95236,1145,Linden,38.047746,-121.030499,3148,0
ARAA-XSJEP,Month-to-Month,2984-MIIZL,Yes,Yes,No,No,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,4,29,7.26,No,No,No,321.9,29.04,74.8,0.0,51,Male,No,0,No,93434,712,Guadalupe,34.936,-120.594655,5726,1
ARFU-NYLGK,One Year,4816-OKWNX,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,2,Yes,Bank Withdrawal,50,22,36.21,Yes,Yes,Yes,5236.4,1810.5,103.4,0.0,38,Male,Yes,1,No,90034,31,Los Angeles,34.030578,-118.399613,58218,0
ARJS-UXHDP,Month-to-Month,4822-NGOCH,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Fiber Optic,0,Yes,Bank Withdrawal,13,4,21.88,No,No,No,1058.6,284.44,84.45,0.0,60,Female,No,0,No,95831,1443,Sacramento,38.494832,-121.529447,42832,1
ARLZ-XTZSY,Month-to-Month,4958-GZWIY,Yes,Yes,No,No,No,Yes,No,Yes,DSL,1,No,Bank Withdrawal,7,4,5.13,No,No,No,340.25,35.91,48.7,0.0,61,Male,Yes,0,No,92258,408,North Palm Springs,33.906496,-116.569499,732,1
ARTP-ANABM,One Year,2550-AEVRU,No,Yes,No,Yes,Yes,Yes,No,Yes,DSL,1,No,Bank Withdrawal,57,11,17.01,No,No,No,3053.0,969.57,53.45,0.0,33,Female,Yes,2,No,91364,217,Woodland Hills,34.153733,-118.593408,25988,0
ARYJ-MGJIZ,Month-to-Month,4983-CLMLV,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,0,Yes,Credit Card,52,71,44.34,Yes,Yes,Yes,5138.1,2305.68,102.7,0.0,30,Female,Yes,0,No,92027,324,Escondido,33.141265,-116.967221,48690,0
ASAO-LEUAZ,Month-to-Month,3144-KMTWZ,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,8,Yes,Bank Withdrawal,71,7,26.56,Yes,Yes,No,6669.45,1885.76,93.25,0.0,40,Male,Yes,0,No,90606,117,Whittier,33.976678,-118.065875,32148,0
ASKD-HPTRN,Two Year,0254-FNMCI,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,0,Yes,Bank Withdrawal,72,73,41.91,Yes,Yes,Yes,7624.2,3017.52,109.9,0.0,19,Female,No,0,No,90241,72,Downey,33.940884,-118.128628,40152,0
